Filename,Inference Time (ms),Temperature (°C),Used RAM (MB),CPU Usage (%)
frame0083.jpg,287,55.4,847.172,33.3
frame0385.jpg,220,56,846.25,0
frame0554.jpg,215,56,846.203,50
frame0618.jpg,217,56.5,846.391,0
frame0530.jpg,216,57.6,846.562,0
frame0288.jpg,218,57.6,845.344,50
frame0126.jpg,219,57.6,845.297,50
frame0378.jpg,216,58.2,845.953,33.3
frame0006.jpg,217,58.2,846.625,0
frame0175.jpg,217,59.3,846.781,0
frame0156.jpg,217,59.3,847.672,50
frame0391.jpg,217,60.4,846.922,0
frame0038.jpg,217,60.4,845.938,0
frame0112.jpg,217,59.8,846.125,0
frame0499.jpg,217,60.4,845.609,0
frame0069.jpg,216,60.9,846.031,0
frame0178.jpg,218,60.9,846.438,33.3
frame0334.jpg,218,60.9,846.281,33.3
frame0274.jpg,217,61.5,846.328,0
frame0376.jpg,219,61.5,846.281,0
frame0236.jpg,215,62,846.828,50
frame0476.jpg,216,62.6,846.172,50
frame0232.jpg,216,62.6,847.531,0
frame0005.jpg,221,63.1,845.375,50
frame0109.jpg,217,62.6,846.266,0
frame0309.jpg,217,63.1,846.234,50
frame0078.jpg,243,63.1,846.188,0
frame0507.jpg,216,63.7,847.516,50
frame0287.jpg,217,63.1,847.25,0
frame0520.jpg,217,63.7,846.969,33.3
frame0418.jpg,219,62.6,847.172,0
frame0497.jpg,217,63.7,847.594,50
frame0536.jpg,217,63.7,847.297,0
frame0407.jpg,223,64.2,847.719,50
frame0542.jpg,218,62.6,848.578,50
frame0315.jpg,215,64.2,847.359,50
frame0265.jpg,231,64.8,846.844,0
frame0571.jpg,217,64.8,847.516,0
frame0202.jpg,217,64.8,847.469,0
frame0251.jpg,216,64.8,847.656,0
frame0155.jpg,216,65.9,847.375,0
frame0503.jpg,217,64.8,846.859,0
frame0523.jpg,215,65.3,846.578,33.3
frame0044.jpg,232,64.8,846.266,33.3
frame0495.jpg,214,65.3,846.688,33.3
frame0504.jpg,231,66.4,845.625,50
frame0046.jpg,214,65.9,847.797,0
frame0214.jpg,215,65.9,848.438,33.3
frame0338.jpg,216,67,847.688,0
frame0586.jpg,215,65.9,848.266,50
frame0089.jpg,212,66.4,846.438,33.3
frame0577.jpg,212,65.9,847.797,50
frame0615.jpg,215,65.9,846.797,33.3
frame0011.jpg,226,64.8,847.938,33.3
frame0136.jpg,213,66.4,846.938,33.3
frame0389.jpg,213,65.9,847.328,33.3
frame0458.jpg,215,66.4,848.453,0
frame0475.jpg,216,67.5,848.297,50
frame0514.jpg,213,66.4,848,33.3
frame0102.jpg,215,67,849.219,0
frame0169.jpg,229,68.6,848.703,0
frame0275.jpg,215,67,848.656,0
frame0517.jpg,212,67,847.906,0
frame0212.jpg,216,67.5,846.688,33.3
frame0176.jpg,218,67.5,847.594,0
frame0250.jpg,219,67.5,847.766,50
frame0392.jpg,213,67.5,847.016,0
frame0336.jpg,213,67.5,847.188,50
frame0384.jpg,216,67.5,847.375,50
frame0409.jpg,215,66.4,848.5,50
frame0123.jpg,233,68.1,848.453,0
frame0433.jpg,215,67.5,848.641,0
